,Unnamed: 0,ID,School Name_x,Total Grads % of cohort,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school,target
942,967,09X227_2017,BRONX COLLEGIATE ACADEMY,63.4,2.4,2.06,,4,0.8690000000000001,0.97,4,407,0.022,0.253,0.221,0.6579999999999999,0.705,0.049,0.26,0.012,0.182,0.182,0.42,0.741,4,3,3,4,3,0.82,3,0.83,3,2,0.851,0.74,4,0.957,0.94,4,6.3,0
943,968,09X231_2017,EAGLE ACADEMY FOR YOUNG MEN,63.0,2.44,2.16,,3,0.687,0.82,3,328,0.009000000000000001,0.588,0.04,0.473,0.375,0.08199999999999999,0.302,0.006,0.098,0.098,0.36,0.825,3,2,3,3,2,0.76,2,0.89,3,3,0.868,0.65,3,0.964,0.81,2,1.8,0
944,969,09X241_2017,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,85.3,2.57,2.59,,3,0.795,0.82,3,369,0.008,0.374,0.076,0.612,0.607,0.005,0.271,0.008,0.098,0.098,0.366,0.462,4,3,4,4,4,0.8,4,0.84,3,3,0.863,0.69,3,0.964,0.85,3,4.9,1
945,970,09X250_2017,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA,84.8,2.59,2.23,,4,0.79,0.94,4,433,0.021,0.383,0.113,0.594,0.57,0.005,0.222,0.009000000000000001,0.125,0.125,0.429,0.867,4,4,4,4,4,0.83,4,0.89,3,4,0.8540000000000001,0.71,3,0.961,0.91,3,5.8,1
946,971,09X252_2017,MOTT HALL BRONX HIGH SCHOOL,78.6,2.56,2.37,,3,0.841,0.92,4,390,0.008,0.205,0.131,0.677,0.7559999999999999,0.041,0.244,0.01,0.079,0.079,0.4370000000000001,0.407,4,3,3,3,3,0.76,3,0.85,3,3,0.852,0.72,3,0.977,0.9,3,5.7,1
947,972,09X260_2017,BRONX CENTER FOR SCIENCE AND MATHEMATICS,88.4,3.04,2.8,,4,0.7709999999999999,0.87,3,458,0.07,0.212,0.059,0.596,0.6940000000000001,0.039,0.229,0.015,0.085,0.085,0.255,0.759,4,4,4,4,4,0.85,4,0.8,2,3,0.91,0.78,4,0.97,0.89,3,12.0,1
948,973,09X263_2017,VALIDUS PREPARATORY ACADEMY,55.7,2.42,2.15,,3,0.831,0.94,3,397,0.003,0.28,0.161,0.612,0.695,0.083,0.277,0.013,0.139,0.139,0.5670000000000001,0.75,3,2,3,3,2,0.79,2,0.85,3,2,0.79,0.72,2,0.981,0.93,4,3.0,0
949,974,09X276_2017,LEADERSHIP INSTITUTE,36.2,2.26,1.96,,0,0.889,0.67,0,163,0.006,0.368,0.264,0.669,0.607,0.025,0.276,0.018000000000000002,0.264,0.264,0.579,0.5329999999999999,4,3,3,3,3,0.68,0,0.83,0,0,0.8,0.76,0,0.97,0.9,0,9.9,0
950,975,09X297_2017,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,69.7,2.39,2.03,,4,0.836,0.98,4,394,0.008,0.251,0.206,0.609,0.728,0.025,0.277,0.01,0.201,0.201,0.451,0.735,3,3,4,4,4,0.89,4,0.9,4,3,0.838,0.8,3,0.972,0.96,4,4.5,0
951,976,09X324_2017,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,77.2,2.87,2.51,,4,0.7659999999999999,0.9,3,276,0.025,0.308,0.062,0.5760000000000001,0.638,0.006999999999999999,0.127,0.018000000000000002,0.087,0.087,0.42,0.556,4,3,4,3,3,0.82,3,0.86,3,3,0.85,0.73,3,0.981,0.91,3,5.8,1
952,977,09X327_2017,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,83.0,2.81,3.01,,4,0.8320000000000001,0.92,4,424,0.005,0.217,0.078,0.66,0.774,0.059,0.248,0.005,0.111,0.111,0.387,0.667,4,3,4,4,3,0.84,4,0.84,3,2,0.879,0.74,3,0.961,0.91,3,2.9,1
953,978,09X329_2017,DREAMYARD PREPARATORY SCHOOL,64.1,2.41,2.14,,4,0.8740000000000001,0.99,4,285,0.0,0.33,0.249,0.607,0.66,0.006999999999999999,0.242,0.006999999999999999,0.274,0.274,0.52,0.5,3,3,3,4,3,0.9,3,0.89,3,2,0.835,0.79,3,0.976,0.95,4,5.2,0
954,979,09X365_2017,ACADEMY FOR LANGUAGE AND TECHNOLOGY,96.1,1.9,2.06,,4,0.933,0.94,4,314,0.0,0.003,0.6559999999999999,0.529,0.997,0.003,0.073,0.0,0.481,0.481,0.35100000000000003,0.409,4,4,4,4,4,0.86,4,0.81,2,4,0.892,0.85,3,0.979,0.9,3,3.7,1
955,980,09X403_2017,BRONX INTERNATIONAL HIGH SCHOOL,77.8,1.78,1.86,,3,0.953,0.71,2,394,0.028,0.162,0.929,0.464,0.774,0.0,0.033,0.023,0.287,0.287,0.5589999999999999,0.931,3,3,3,4,3,0.79,3,0.81,2,4,0.7979999999999999,0.79,3,0.944,0.84,3,11.0,1
956,981,09X404_2017,SCHOOL FOR EXCELLENCE,51.6,2.34,2.04,,2,0.875,0.91,2,387,0.016,0.258,0.282,0.677,0.7,0.034,0.279,0.01,0.23,0.23,0.706,0.96,2,2,2,2,2,0.74,2,0.83,2,2,0.6609999999999999,0.63,2,0.967,0.86,3,0.6,0
957,982,09X412_2017,BRONX HIGH SCHOOL OF BUSINESS,57.4,2.34,2.06,,2,0.8740000000000001,0.81,3,287,0.028,0.226,0.394,0.547,0.711,0.003,0.226,0.024,0.244,0.244,0.502,0.821,3,2,3,3,2,0.75,2,0.8,2,2,0.821,0.66,3,0.95,0.86,3,0.6,0
958,983,09X413_2017,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,89.4,2.93,2.62,,2,0.8190000000000001,0.7,3,265,0.094,0.264,0.064,0.642,0.608,0.079,0.166,0.011,0.091,0.091,0.204,0.759,3,2,3,2,2,0.82,2,0.91,3,3,0.931,0.71,3,0.948,0.85,3,15.0,1
959,984,09X505_2017,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,79.8,2.99,2.61,,4,0.7929999999999999,0.86,3,491,0.018000000000000002,0.248,0.055,0.623,0.7070000000000001,0.029,0.204,0.008,0.1,0.1,0.266,0.509,4,3,4,4,4,0.8,4,0.82,2,3,0.908,0.67,3,0.962,0.88,3,1.9,1
960,985,09X517_2017,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,62.5,2.35,2.03,,4,0.8859999999999999,0.9,3,409,0.002,0.443,0.142,0.721,0.521,0.017,0.22,0.017,0.22,0.22,0.6559999999999999,0.63,4,3,4,4,3,0.74,3,0.82,3,3,0.764,0.72,3,0.965,0.89,3,1.7,0
961,986,09X525_2017,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,53.8,2.39,2.06,,2,0.858,0.77,3,651,0.005,0.298,0.174,0.7040000000000001,0.67,0.092,0.293,0.012,0.163,0.163,0.541,0.471,4,2,4,3,3,0.67,3,0.94,4,2,0.8170000000000001,0.62,2,0.927,0.83,3,2.8,0
962,987,09X543_2017,HIGH SCHOOL FOR VIOLIN AND DANCE,65.8,2.37,2.08,,3,0.8759999999999999,0.88,3,288,0.006999999999999999,0.35100000000000003,0.163,0.705,0.628,0.006999999999999999,0.271,0.01,0.25,0.25,0.69,0.941,3,2,3,3,3,0.81,3,0.78,2,2,0.7140000000000001,0.65,2,0.961,0.86,2,6.3,0
963,988,09X564_2017,CLAREMONT INTERNATIONAL HS,55.8,1.87,1.94,,4,0.955,0.89,3,377,0.077,0.207,0.851,0.411,0.682,0.003,0.042,0.027000000000000003,0.313,0.313,0.415,0.5379999999999999,4,4,4,4,3,0.84,4,0.82,3,2,0.843,0.86,3,0.965,0.93,4,5.0,0
964,989,10X141_2017,RIVERDALE / KINGSBRIDGE ACADEMY MIDDLE SCHOOL / HI,89.8,2.93,2.81,,3,0.421,0.75,2,707,0.078,0.096,0.058,0.274,0.588,0.076,0.215,0.235,0.069,0.069,0.248,0.7859999999999999,4,3,3,4,3,0.73,3,0.88,3,3,0.92,0.69,3,0.962,0.84,3,10.0,1
965,990,10X213_2017,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,73.8,2.48,2.29,,3,0.785,0.86,3,403,0.04,0.28800000000000003,0.134,0.581,0.635,0.0,0.251,0.025,0.156,0.156,0.5379999999999999,0.923,3,3,3,3,2,0.77,3,0.83,3,2,0.8170000000000001,0.66,2,0.971,0.81,2,6.2,1
966,991,10X225_2017,THEATRE ARTS PRODUCTION COMPANY SCHOOL,72.9,2.66,2.28,,3,0.7909999999999999,0.79,2,414,0.012,0.29,0.063,0.63,0.659,0.014,0.263,0.017,0.111,0.111,0.45,0.7290000000000001,3,3,3,3,2,0.73,2,0.83,2,2,0.853,0.65,2,0.964,0.84,2,5.3,0
967,992,10X237_2017,THE MARIE CURIE SCHOOL FOR MEDICINE NURSING AND HE,55.1,2.54,2.19,,2,0.765,0.66,1,533,0.032,0.325,0.126,0.597,0.5870000000000001,0.019,0.205,0.032,0.15,0.15,0.531,0.794,4,3,4,3,3,0.71,3,0.8,2,2,0.82,0.6,2,0.952,0.81,2,13.0,0
968,993,10X243_2017,WEST BRONX ACADEMY FOR THE FUTURE,85.7,2.54,2.22,,3,0.815,0.9,3,333,0.018000000000000002,0.159,0.099,0.652,0.799,0.03,0.276,0.021,0.114,0.114,0.467,0.733,3,2,3,3,2,0.78,2,0.79,2,3,0.836,0.67,3,0.964,0.88,3,13.0,1
969,994,10X264_2017,BRONX ACADEMY FOR SOFTWARE ENGINEERING BASE,74.0,2.72,2.54,,4,0.6829999999999999,0.86,3,436,0.069,0.289,0.062,0.466,0.5920000000000001,0.076,0.278,0.025,0.122,0.122,0.313,0.452,3,3,3,4,3,0.76,3,0.8,2,2,0.882,0.72,3,0.976,0.92,4,4.0,1
970,995,10X268_2017,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,54.0,1.87,1.9,,2,0.95,0.87,2,487,0.064,0.033,0.877,0.478,0.862,0.002,0.043,0.037000000000000005,0.4370000000000001,0.4370000000000001,0.397,0.833,2,2,2,2,2,0.77,2,0.82,2,2,0.871,0.74,2,0.96,0.92,3,0.4,0
971,996,10X284_2017,BRONX SCHOOL OF LAW AND FINANCE,73.3,2.53,2.19,,2,0.805,0.88,3,394,0.015,0.277,0.168,0.609,0.6779999999999999,0.051,0.244,0.02,0.16,0.16,0.556,0.68,3,2,3,2,2,0.78,2,0.82,2,2,0.802,0.58,2,0.962,0.87,3,5.0,1
972,997,10X342_2017,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,69.5,2.17,2.15,,4,0.906,0.92,4,387,0.0,0.003,0.664,0.522,0.995,0.003,0.07,0.003,0.349,0.349,0.199,0.732,3,3,3,4,2,0.85,3,0.87,3,2,0.914,0.83,4,0.972,0.92,3,5.3,0
973,998,10X351_2017,BRONX COLLABORATIVE HIGH SCHOOL,22.9,2.58,2.28,,4,0.802,0.95,4,488,0.02,0.309,0.201,0.557,0.607,0.006,0.217,0.035,0.184,0.184,0.555,0.5710000000000001,4,3,3,3,3,0.85,3,0.88,3,3,0.802,0.78,3,0.998,0.91,3,4.0,0
974,999,10X353_2017,WORLD VIEW HIGH SCHOOL,85.7,2.6,2.31,,4,0.802,0.98,4,449,0.009000000000000001,0.238,0.316,0.535,0.7170000000000001,0.022,0.18,0.013,0.183,0.183,0.344,0.32299999999999995,3,3,3,4,3,0.86,3,0.86,3,4,0.887,0.75,3,0.989,0.93,4,3.3,1
975,1000,10X368_2017,INTECH ACADEMY MS / HIGH SCHOOL 368,84.7,2.81,2.35,,3,0.6940000000000001,0.83,3,486,0.029,0.101,0.101,0.521,0.807,0.019,0.202,0.051,0.111,0.111,0.263,0.828,4,3,4,3,3,0.73,3,0.82,2,3,0.905,0.69,3,0.966,0.85,3,2.0,1
976,1001,10X374_2017,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIO,90.9,2.71,2.41,,4,0.7759999999999999,0.91,4,473,0.03,0.294,0.133,0.5670000000000001,0.632,0.008,0.254,0.023,0.131,0.131,0.361,0.5,4,3,4,4,4,0.83,4,0.86,3,4,0.878,0.82,4,0.984,0.92,4,9.9,1
977,1002,10X433_2017,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,78.6,2.5,2.15,,3,0.825,0.88,3,462,0.022,0.173,0.201,0.626,0.762,0.009000000000000001,0.249,0.028,0.147,0.147,0.512,0.943,3,3,3,3,3,0.83,3,0.86,3,3,0.8170000000000001,0.71,3,0.953,0.87,3,2.9,1
978,1003,10X434_2017,BELMONT PREPARATORY HIGH SCHOOL,87.8,2.64,2.33,,2,0.748,0.9,3,412,0.029,0.265,0.09,0.541,0.687,0.051,0.211,0.012,0.097,0.097,0.335,0.862,3,3,3,2,2,0.83,3,0.83,2,4,0.892,0.73,3,0.969,0.91,3,10.0,1
979,1004,10X437_2017,FORDHAM HIGH SCHOOL FOR THE ARTS,92.1,2.86,2.47,,4,0.747,0.84,3,375,0.013,0.349,0.027000000000000003,0.563,0.5920000000000001,0.003,0.187,0.019,0.125,0.125,0.261,0.241,4,4,4,4,4,0.84,4,0.81,2,3,0.909,0.76,4,0.962,0.87,3,13.0,1
980,1005,10X438_2017,FORDHAM LEADERSHIP ACADEMY,65.2,2.35,2.09,,3,0.8190000000000001,0.78,3,349,0.02,0.261,0.201,0.628,0.685,0.037000000000000005,0.287,0.032,0.163,0.163,0.276,0.484,3,2,3,3,3,0.7,2,0.86,3,3,0.902,0.6,3,0.96,0.84,3,2.0,0
981,1006,10X439_2017,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,84.3,2.57,2.19,,4,0.8109999999999999,0.94,4,423,0.021,0.251,0.14400000000000002,0.645,0.6859999999999999,0.026,0.274,0.024,0.175,0.175,0.55,0.8440000000000001,4,3,3,4,3,0.86,3,0.82,3,4,0.8170000000000001,0.74,3,0.969,0.91,3,6.8,1
982,1007,10X440_2017,DEWITT CLINTON HIGH SCHOOL,45.7,2.67,2.37,,2,0.7809999999999999,0.65,2,1476,0.08900000000000001,0.318,0.243,0.523,0.532,0.038,0.159,0.037000000000000005,0.175,0.175,0.435,0.907,3,2,2,3,2,0.69,1,0.76,1,1,0.8440000000000001,0.62,2,0.96,0.75,2,0.4,0
983,1008,10X442_2017,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC THE,94.0,2.81,2.44,,4,0.745,0.92,4,428,0.021,0.243,0.049,0.5720000000000001,0.687,0.0,0.194,0.009000000000000001,0.126,0.126,0.315,0.733,4,3,3,4,3,0.82,3,0.85,3,3,0.905,0.68,3,0.955,0.92,3,4.3,1
984,1009,10X445_2017,BRONX HIGH SCHOOL OF SCIENCE,99.7,4.08,4.28,,3,0.287,0.9,3,2979,0.643,0.024,0.0,0.149,0.061,0.0,0.009000000000000001,0.251,0.013,0.013,0.06,0.8,4,3,4,3,3,0.85,3,0.87,3,4,0.967,0.78,4,0.966,0.91,3,3.8,1
985,1010,10X477_2017,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,89.4,2.83,2.71,,4,0.7929999999999999,0.87,3,429,0.096,0.217,0.29600000000000004,0.4920000000000001,0.632,0.0,0.114,0.051,0.168,0.168,0.187,0.821,4,3,4,4,4,0.86,4,0.8,2,4,0.93,0.84,4,0.975,0.92,4,9.8,1
986,1011,10X524_2017,CROTONA INTERNATIONAL HIGH SCHOOL,59.0,1.78,1.86,,2,0.937,0.64,2,341,0.018000000000000002,0.08199999999999999,0.924,0.378,0.8590000000000001,0.0,0.053,0.029,0.287,0.287,0.472,0.727,3,2,3,3,3,0.65,2,0.77,2,2,0.8320000000000001,0.64,2,0.963,0.77,2,1.8,0
987,1012,10X546_2017,BRONX THEATRE HIGH SCHOOL,60.5,2.56,2.09,,2,0.818,0.59,2,395,0.01,0.311,0.096,0.6679999999999999,0.648,0.015,0.233,0.015,0.18,0.18,0.642,0.885,3,2,3,2,3,0.77,2,0.74,1,2,0.7809999999999999,0.69,2,0.954,0.74,2,2.4,0
988,1013,10X549_2017,DISCOVERY HIGH SCHOOL,73.8,2.48,2.14,,3,0.8140000000000001,0.99,4,487,0.027000000000000003,0.17,0.166,0.598,0.758,0.023,0.287,0.031,0.185,0.185,0.227,0.677,3,3,3,3,3,0.9,3,0.98,4,4,0.882,0.76,0,0.98,0.95,4,10.0,1
989,1014,10X565_2017,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,61.5,2.47,2.2,,2,0.818,0.77,2,412,0.036000000000000004,0.228,0.136,0.6629999999999999,0.7040000000000001,0.036000000000000004,0.243,0.005,0.163,0.163,0.474,0.677,4,3,4,3,3,0.64,3,0.82,3,3,0.833,0.59,3,0.965,0.76,2,1.7,0
990,1015,10X696_2017,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,98.7,4.08,4.17,,4,0.213,0.94,4,377,0.218,0.037000000000000005,0.0,0.093,0.13,0.0,0.027000000000000003,0.568,0.016,0.016,0.045,0.962,4,4,4,4,3,0.91,4,0.89,3,4,0.968,0.86,4,0.972,0.93,4,10.8,1
991,1016,11X249_2017,BRONX HEALTH SCIENCES HIGH SCHOOL,94.5,2.77,2.45,,3,0.621,0.88,3,322,0.093,0.45,0.065,0.447,0.366,0.047,0.118,0.028,0.112,0.112,0.187,0.789,4,3,3,4,3,0.82,3,0.83,3,3,0.928,0.65,3,0.975,0.86,3,13.0,1
992,1017,11X253_2017,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR,64.6,2.54,2.07,,3,0.7120000000000001,0.89,3,317,0.038,0.457,0.12,0.498,0.461,0.006,0.259,0.025,0.158,0.158,0.514,0.7829999999999999,3,3,3,3,3,0.83,3,0.86,3,2,0.813,0.74,3,0.959,0.93,4,5.9,0
993,1018,11X265_2017,BRONX LAB SCHOOL,54.8,2.41,2.06,,3,0.77,0.82,3,415,0.027000000000000003,0.429,0.123,0.588,0.501,0.053,0.272,0.027000000000000003,0.13,0.13,0.5529999999999999,0.765,3,2,3,3,3,0.74,2,0.81,2,3,0.8079999999999999,0.58,2,0.97,0.84,2,3.9,0
994,1019,11X270_2017,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP,59.4,2.43,2.07,,3,0.685,0.94,4,370,0.035,0.616,0.07,0.524,0.297,0.019,0.222,0.022,0.116,0.116,0.5670000000000001,0.833,3,3,3,3,3,0.73,3,0.83,3,3,0.809,0.59,2,0.916,0.9,3,12.0,0
995,1020,11X275_2017,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,57.0,2.61,2.38,,3,0.733,0.8,3,525,0.063,0.349,0.067,0.564,0.55,0.0,0.259,0.019,0.133,0.133,0.259,0.867,4,3,4,4,4,0.77,4,0.83,3,3,0.872,0.69,4,0.968,0.88,3,13.0,0
996,1021,11X288_2017,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,88.0,3.13,2.86,,3,0.616,0.81,3,637,0.118,0.334,0.031,0.422,0.421,0.031,0.177,0.104,0.08,0.08,0.316,0.703,4,3,3,3,3,0.74,3,0.79,2,3,0.898,0.66,3,0.97,0.81,2,3.0,1
997,1022,11X290_2017,BRONX ACADEMY OF HEALTH CAREERS,75.0,2.49,2.15,,4,0.784,0.9,3,427,0.047,0.37,0.112,0.609,0.536,0.012,0.227,0.021,0.171,0.171,0.35700000000000004,0.778,4,3,4,4,3,0.68,3,0.87,3,3,0.877,0.61,3,0.976,0.88,3,4.9,1
998,1023,11X299_2017,ASTOR COLLEGIATE ACADEMY,75.4,2.69,2.38,,2,0.625,0.72,3,500,0.058,0.32,0.056,0.448,0.468,0.012,0.242,0.122,0.108,0.108,0.409,0.893,3,2,3,2,2,0.71,2,0.84,3,2,0.858,0.57,2,0.951,0.8,2,6.6,1
999,1024,11X418_2017,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,61.6,2.59,2.16,,2,0.687,0.69,2,471,0.028,0.293,0.042,0.499,0.573,0.038,0.301,0.102,0.11,0.11,0.454,0.909,2,2,3,3,3,0.69,2,0.86,3,2,0.8420000000000001,0.59,2,0.952,0.73,2,2.0,0
1000,1025,11X455_2017,HARRY S TRUMAN HIGH SCHOOL,74.1,2.52,2.15,,3,0.648,0.91,3,2023,0.026,0.505,0.07,0.484,0.4270000000000001,0.107,0.253,0.03,0.134,0.134,0.233,0.78,3,3,3,3,3,0.82,3,0.8,2,3,0.903,0.72,3,0.961,0.9,3,3.8,1
1001,1026,11X508_2017,BRONXDALE HIGH SCHOOL,76.9,2.64,2.3,,4,0.711,0.98,4,445,0.036000000000000004,0.297,0.076,0.521,0.5820000000000001,0.002,0.21600000000000005,0.07200000000000001,0.126,0.126,0.458,0.6559999999999999,4,3,4,4,4,0.88,4,0.87,3,2,0.8420000000000001,0.78,3,0.97,0.95,4,5.1,1
1002,1027,11X509_2017,HIGH SCHOOL OF LANGUAGE AND INNOVATION,66.7,2.05,2.01,,3,0.938,0.88,3,359,0.175,0.092,0.8220000000000001,0.37,0.557,0.003,0.039,0.153,0.253,0.253,0.364,0.581,4,3,3,3,3,0.79,3,0.87,3,3,0.872,0.75,3,0.972,0.9,3,6.0,0
1003,1028,11X513_2017,NEW WORLD HIGH SCHOOL,84.1,2.05,2.02,,4,0.889,0.88,3,400,0.115,0.135,0.665,0.463,0.625,0.005,0.055,0.09,0.238,0.238,0.24,0.87,4,3,4,4,4,0.86,4,0.8,2,4,0.926,0.77,3,0.962,0.9,3,12.0,1
1004,1029,11X514_2017,THE BRONXWOOD PREPARATORY ACADEMY,59.6,2.49,2.05,,4,0.619,0.88,3,402,0.04,0.672,0.07,0.405,0.259,0.022,0.204,0.015,0.132,0.132,0.244,0.5379999999999999,4,3,4,4,4,0.79,4,0.83,3,2,0.906,0.68,4,0.956,0.87,3,12.0,0
1005,1030,11X542_2017,PELHAM PREPARATORY ACADEMY,89.4,2.84,2.5,,3,0.615,0.84,3,493,0.059,0.298,0.039,0.44,0.517,0.014,0.209,0.097,0.099,0.099,0.29600000000000004,0.862,4,3,3,3,3,0.81,3,0.83,3,3,0.904,0.71,3,0.97,0.84,3,0.9,1
1006,1031,11X544_2017,HIGH SCHOOL FOR CONTEMPORARY ARTS,70.7,2.53,2.09,,3,0.758,0.94,4,476,0.017,0.342,0.105,0.557,0.616,0.086,0.282,0.011,0.162,0.162,0.383,1.0,3,2,3,3,2,0.8,2,0.83,2,3,0.856,0.59,3,0.963,0.89,3,1.6,0
1007,1032,11X545_2017,BRONX AEROSPACE HIGH SCHOOL,64.8,2.38,2.1,,2,0.726,0.73,2,360,0.042,0.34700000000000003,0.16399999999999998,0.506,0.561,0.003,0.289,0.031,0.189,0.189,0.464,0.88,2,2,3,3,2,0.67,2,0.89,3,2,0.8220000000000001,0.6,2,0.967,0.8,2,3.0,0
1008,1033,12X242_2017,MOTT HALL V,79.5,2.73,2.44,,3,0.779,0.78,2,365,0.036000000000000004,0.16399999999999998,0.085,0.584,0.775,0.06,0.227,0.008,0.063,0.063,0.41,0.7090000000000001,4,4,4,4,3,0.77,4,0.83,2,3,0.878,0.76,3,0.956,0.85,3,12.0,1
1009,1034,12X248_2017,METROPOLITAN HIGH SCHOOL THE,45.1,2.3,2.03,,1,0.8370000000000001,0.69,1,436,0.014,0.255,0.227,0.626,0.7090000000000001,0.046,0.303,0.006999999999999999,0.193,0.193,0.69,0.541,3,2,2,2,2,0.73,2,0.82,2,2,0.758,0.61,2,0.967,0.75,1,1.0,0
1010,1035,12X251_2017,EXPLORATIONS ACADEMY HS,65.8,2.34,2.1,,2,0.8290000000000001,0.67,1,344,0.015,0.256,0.209,0.637,0.715,0.003,0.262,0.012,0.183,0.183,0.5489999999999999,0.536,3,3,3,3,3,0.72,3,0.83,3,2,0.8079999999999999,0.69,2,0.963,0.81,2,9.9,0
1011,1036,12X267_2017,BRONX LATIN,95.8,2.67,2.41,,3,0.816,0.86,3,328,0.015,0.18600000000000005,0.119,0.655,0.7959999999999999,0.0,0.238,0.003,0.125,0.125,0.336,0.5870000000000001,4,3,3,4,4,0.81,3,0.92,4,4,0.899,0.78,4,0.963,0.89,3,4.8,1
1012,1037,12X271_2017,EAST BRONX ACADEMY FOR THE FUTURE,76.3,2.44,2.07,,4,0.861,0.93,4,409,0.01,0.259,0.11,0.685,0.716,0.073,0.328,0.005,0.181,0.181,0.596,0.754,4,3,3,4,3,0.79,3,0.87,3,3,0.794,0.72,3,0.946,0.9,3,13.0,1
1013,1038,12X372_2017,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,68.1,2.56,2.25,,2,0.8240000000000001,0.61,2,368,0.011,0.239,0.111,0.625,0.72,0.041,0.255,0.014,0.16,0.16,0.626,0.511,3,2,3,3,2,0.55,2,0.75,1,2,0.79,0.59,2,0.955,0.7,1,1.6,0
1014,1039,12X388_2017,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,73.1,1.8,1.77,,4,0.958,0.99,4,456,0.0,0.0,0.908,0.325,1.0,0.002,0.026,0.0,0.3,0.3,0.368,0.529,4,4,4,4,4,0.96,4,0.93,4,4,0.877,0.96,4,0.985,0.97,4,9.0,1
1015,1040,12X478_2017,THE CINEMA SCHOOL,86.8,2.99,2.68,,2,0.752,0.69,2,310,0.023,0.21,0.07400000000000001,0.594,0.716,0.023,0.161,0.026,0.09,0.09,0.434,0.667,4,3,3,3,3,0.75,3,0.83,3,3,0.887,0.64,3,0.966,0.84,3,4.0,1
1016,1041,12X479_2017,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,39.5,2.4,2.06,,3,0.857,0.9,3,296,0.01,0.402,0.182,0.659,0.5539999999999999,0.003,0.287,0.017,0.267,0.267,0.551,0.64,3,2,3,3,2,0.79,2,0.85,3,2,0.762,0.69,3,0.966,0.91,3,1.9,0
1017,1042,12X511_2017,BRONX ENVISION ACADEMY,64.8,2.49,2.15,,4,0.818,0.91,3,401,0.022,0.334,0.122,0.608,0.601,0.017,0.234,0.02,0.195,0.195,0.498,0.636,3,3,3,4,3,0.82,3,0.81,2,3,0.812,0.69,3,0.962,0.9,3,6.0,0
1018,1043,12X521_2017,THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,60.4,2.36,2.11,,3,0.818,0.9,3,423,0.033,0.258,0.139,0.652,0.6759999999999999,0.028,0.236,0.019,0.161,0.161,0.557,0.7879999999999999,4,2,3,3,3,0.77,3,0.81,2,3,0.7909999999999999,0.67,3,0.969,0.88,3,1.8,0
1019,1044,12X550_2017,HIGH SCHOOL OF WORLD CULTURES,38.5,1.99,1.88,,2,0.953,0.75,2,440,0.102,0.068,0.875,0.318,0.782,0.0,0.016,0.03,0.27,0.27,0.505,0.438,2,2,2,2,3,0.71,2,0.83,2,2,0.7959999999999999,0.69,2,0.966,0.84,3,13.8,0
